"id","name","full_path"
"59","[April - ECU Checking]","[April - ECU Checking]"
"52","[April - ECU Savings]","[April - ECU Savings]"
"81","[haroldbusinessselect chkg 4665]","[haroldbusinessselect chkg 4665]"
"198","[Mercury Credit Card Credit Card]","[Mercury Credit Card Credit Card]"
"201","[Mission Lane Credit Card]","[Mission Lane Credit Card]"
"36","[TOTAL CHECKING XX3279]","[TOTAL CHECKING XX3279]"
"55","[Vacation and Holiday XX9787]","[Vacation and Holiday XX9787]"
"23","April","April"
"46","Bank Charges","April:Bank Charges"
"155","Dividends","April:Bank Charges:Dividends"
"47","Fees","April:Bank Charges:Fees"
"205","Cash","April:Cash"
"53","Credit Cards","April:Credit Cards"
"84","Access","April:Credit Cards:Access"
"54","Affirm","April:Credit Cards:Affirm"
"152","Barclays","April:Credit Cards:Barclays"
"125","Comenity","April:Credit Cards:Comenity"
"126","NS-Buckle","April:Credit Cards:Comenity:NS-Buckle"
"146","Pay II-Ross","April:Credit Cards:Comenity:Pay II-Ross"
"65","Credit One","April:Credit Cards:Credit One"
"178","Experian","April:Credit Cards:Experian"
"213","JC Penney","April:Credit Cards:JC Penney"
"123","Mission Lane","April:Credit Cards:Mission Lane"
"156","Donations","April:Donations"
"24","Expenses","April:Expenses"
"114","Apple","April:Expenses:Apple"
"132","Books","April:Expenses:Books"
"34","Car","April:Expenses:Car"
"131","Fuel","April:Expenses:Car:Fuel"
"35","Lease","April:Expenses:Car:Lease"
"90","Service","April:Expenses:Car:Service"
"64","Clothing","April:Expenses:Clothing"
"83","Eating Out","April:Expenses:Eating Out"
"181","Games","April:Expenses:Games"
"91","Gifts","April:Expenses:Gifts"
"43","Groceries","April:Expenses:Groceries"
"70","Independence Village","April:Expenses:Independence Village"
"71","Rent","April:Expenses:Independence Village:Rent"
"68","Insurance","April:Expenses:Insurance"
"25","Miscellaneous","April:Expenses:Miscellaneous"
"139","Personal Care","April:Expenses:Personal Care"
"137","Pets","April:Expenses:Pets"
"145","Shared Expenses","April:Expenses:Shared Expenses"
"97","T-Mobile","April:Expenses:T-Mobile"
"79","Income","April:Income"
"80","SSA","April:Income:SSA"
"30","Medical","April:Medical"
"119","Copays","April:Medical:Copays"
"69","Eating Out","April:Medical:Eating Out"
"136","Lodging","April:Medical:Lodging"
"192","Miscellaneous","April:Medical:Miscellaneous"
"206","OTC","April:Medical:OTC"
"102","Payments","April:Medical:Payments"
"171","Advanced Surgical","April:Medical:Payments:Advanced Surgical"
"148","Amarillo Heart Institute","April:Medical:Payments:Amarillo Heart Institute"
"184","Amarillo Surgical","April:Medical:Payments:Amarillo Surgical"
"103","AUA Surgical","April:Medical:Payments:AUA Surgical"
"188","Northwest Urgen Care","April:Medical:Payments:Northwest Urgen Care"
"189","Optum","April:Medical:Payments:Optum"
"142","OSU","April:Medical:Payments:OSU"
"207","OU","April:Medical:Payments:OU"
"195","UTSW","April:Medical:Payments:UTSW"
"31","Prescriptions","April:Medical:Prescriptions"
"109","Travel","April:Medical:Travel"
"110","Eating Out","April:Medical:Travel:Eating Out"
"187","Miscellaneous","April:Medical:Travel:Miscellaneous"
"182","Notary","April:Notary"
"183","Expenses","April:Notary:Expenses"
"85","Streaming","April:Streaming"
"124","Hulu","April:Streaming:Hulu"
"86","Netflix","April:Streaming:Netflix"
"130","Paramount Plus","April:Streaming:Paramount Plus"
"115","Prime","April:Streaming:Prime"
"190","Uncategorized","April:Uncategorized"
"41","Auto","Auto"
"107","Fuel","Auto:Fuel"
"133","Service","Auto:Service"
"42","Tags","Auto:Tags"
"149","Bank Fees","Bank Fees"
"180","Charges","Bank Fees:Charges"
"150","Interest","Bank Fees:Interest"
"104","Cash","Cash"
"105","April - Cash","Cash:April - Cash"
"169","Contract Labor","Contract Labor"
"170","harold","Contract Labor:harold"
"74","Credit Cards","Credit Cards"
"166","Fees","Credit Cards:Fees"
"106","Interest","Credit Cards:Interest"
"108","Mercury","Credit Cards:Mercury"
"208","Interest","Credit Cards:Mercury:Interest"
"204","Offset","Credit Cards:Mercury:Offset"
"78","Mission Lane","Credit Cards:Mission Lane"
"210","Interest","Credit Cards:Mission Lane:Interest"
"75","NFCU","Credit Cards:NFCU"
"209","Interest","Credit Cards:NFCU:Interest"
"76","Offset","Credit Cards:NFCU:Offset"
"72","Donations","Donations"
"73","AP","Donations:AP"
"121","HPPR","Donations:HPPR"
"159","Wikimedia","Donations:Wikimedia"
"48","Entertainment","Entertainment"
"202","Art","Entertainment:Art"
"92","Books","Entertainment:Books"
"49","EatOut","Entertainment:EatOut"
"179","Gifts","Entertainment:Gifts"
"143","Holidays","Entertainment:Holidays"
"127","Lodging","Entertainment:Lodging"
"63","Other","Entertainment:Other"
"197","Parties","Entertainment:Parties"
"165","Reimbursement","Entertainment:Reimbursement"
"153","Theatre","Entertainment:Theatre"
"38","House","House"
"100","Atmos","House:Atmos"
"101","ATT Internet","House:ATT Internet"
"99","ATT Telephone","House:ATT Telephone"
"134","City of Amarillo","House:City of Amarillo"
"113","Maintenance","House:Maintenance"
"164","Pest Control","House:Pest Control"
"98","Porter Waste","House:Porter Waste"
"39","Security","House:Security"
"40","Service","House:Security:Service"
"58","System","House:Security:System"
"161","SPS Mortgage","House:SPS Mortgage"
"185","T-Mobile","House:T-Mobile"
"144","TMobile","House:TMobile"
"87","Xcel","House:Xcel"
"50","Income","Income"
"51","Elections","Income:Elections"
"67","Harold","Income:Harold"
"93","Karibu","Income:Karibu"
"140","SSA","Income:SSA"
"199","Deb","Income:SSA:Deb"
"141","Harold","Income:SSA:Harold"
"176","Substitute Teaching","Income:Substitute Teaching"
"177","AISD","Income:Substitute Teaching:AISD"
"135","Tax Payment","Income:Tax Payment"
"196","Tax Refund","Income:Tax Refund"
"60","Insurance","Insurance"
"82","Car","Insurance:Car"
"111","Dental","Insurance:Dental"
"193","Home","Insurance:Home"
"173","Home Warranty","Insurance:Home Warranty"
"61","Life","Insurance:Life"
"62","Harold","Insurance:Life:Harold"
"186","Licensing and Fees","Licensing and Fees"
"26","Living","Living"
"120","Clothes","Living:Clothes"
"27","Groceries","Living:Groceries"
"147","House Cleaning","Living:House Cleaning"
"154","House Maintenance","Living:House Maintenance"
"95","Miscellaneous","Living:Miscellaneous"
"211","Personal Care","Living:Personal Care"
"88","Pet Care","Living:Pet Care"
"89","Food","Living:Pet Care:Food"
